Organization/Person Name,Organization/Person Name URL,Website,Regions,Full Description,Industries,Industry Groups,Investment Stage,Investor Type,Number of Investments,Location,Contact Email,Phone Number,LinkedIn,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Plug and Play,https://www.crunchbase.com/organization/plug-and-play-ventures,https://www.plugandplaytechcenter.com/,"San Francisco Bay Area, Silicon Valley, West Coast","Plug and Play is a seed and early-stage investor focused on great teams leading emerging growth companies.  Plug and Play runs 12 industry-specific accelerator programs twice a year, that acts as a platform for major corporations and high quality startups to connect and collaborate. Located in the heart of Silicon Valley, Plug and Play participates in Seed, Angel and Series A funding where they often co-invest with their strategic partners. Through years of experience and as part of their network, Plug and Play has put together a world-class network of serial entrepreneurs, strategic investors, and industry leaders who actively assist the firm with its successful and growing investment portfolio. SEED ROUND. Plug and Play participates in seed round investing through a program called Startup Camp. Startup Camp is a 10-week program based in Silicon Valley for top-notch entrepreneurs to work intensively on building out their business model. Select startups will refine their business models and prototypes with help from a combination of structured workshops, speaker series and mentorship sessions, as well as active coaching from their investment team. At the culmination of Startup Camp, founders will have crystalized their business plans and pitched their company to the venture capital community at EXPO Demo Day."" ANGEL ROUND Plug and Play makes angel round investments throughout the year, sourced from their monthly Plug and Play Angels (PAPA) sessions. They are partnered with local angel investors in Silicon Valley who participate in PAPA to find the most promising startups and best new technologies. SERIES A. Series A typical Series A round is in the range of $2 million to $10 million, and is intended to provide operating capital for the company for six months to two years. This round capitalizes the company as it develops its products, performs initial marketing and branding, acquires talent, and conducts other early-stage business operations. It is in this stage that Plug and Play will co-invest with over 180 venture capital partners. Plug and Play has helped grow market leaders such as PayPal, Danger, Google, DropBox, LendingClub, Zoosk, SoundHound, CreditSesame, Skytree, and has over 400 more early-stage startups in its portfolio.","Business Development, Venture Capital","Financial Services, Lending and Investments, Professional Services","Early Stage Venture, Seed","Accelerator, Venture Capital","1,158","Sunnyvale, California, United States",investment@plugandplaytechcenter.com,+1 408-524-1400,https://www.linkedin.com/company/plug-and-play-tech-center,,,,,,
Right Side Capital Management,https://www.crunchbase.com/organization/right-side-capital-management,http://rightsidecapital.com/,"San Francisco Bay Area, West Coast, Western US","Right Side Capital Management is a venture capital firm that helps startups build their company. It invests exclusively in the pre-seed round of technology startups and makes 75-100 investment per year. The firms prefers to invest in diversified technology sectors such as the internet and cloud companies. RSCM was established in 2010 and is based in San Francisco, California.","Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",Seed,Micro VC,"1,156","San Francisco, California, United States",Admin@rightsidecapital.com,053-881-6943,https://www.linkedin.com/company/right-side-capital-management,,,,,,
Bessemer Venture Partners,https://www.crunchbase.com/organization/bessemer-venture-partners,http://www.bvp.com,"San Francisco Bay Area, Silicon Valley, West Coast","Bessemer Venture Partners is a $4B venture capital firm that funds consumer, enterprise, and healthcare startups around the world, from seed stage to growth. Their partners help founders lay enduring foundations to create companies that matter, starting with seed and Series A investments and sticking with our companies at every stage of their growth.  BVP funded the early stages of [Pinterest, Blue Apron, Skype, Skybox Imaging, Twitch, and Periscope and helped build 117 IPOs including Twilio, Yelp, LinkedIn, Shopify, and Wix.","Business Development, Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments, Professional Services","Early Stage Venture, Late Stage Venture",Venture Capital,"1,074","Redwood City, California, United States",businessplans@bvp.com,650-853-7000,https://www.linkedin.com/company/bessemer-venture-partners/,,,,,,
SV Angel,https://www.crunchbase.com/organization/sv-angel,http://www.svangel.com,"San Francisco Bay Area, West Coast, Western US","SV Angel is a San Francisco-based seed fund founded by [Ron Conway](/person/ron-conway). SV Angel provides seed investment and advice to early stage companies focused on Internet software. SV Angel takes a portfolio approach to seed investing. We differ from a traditional venture capital firm by not taking board seats and investing a larger number of companies. We leverage a best in class relationship network to be the valley's human router and help startups with business development, financing, M&A and other strategic advice.  Ron pioneered this approach over 20 years ago and SV Angel still employs it today. Over the last 25 years the firm and partners have invested and advised companies such as Facebook, Google, PayPal, Dropbox, Airbnb, Pinterest, Twitter, SnapChat, Square, Cloudera and many more.","Angel Investment, Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Seed",Micro VC,952,"San Francisco, California, United States",,,https://www.linkedin.com/company/sv-angel,,,,,,
Andreessen Horowitz,https://www.crunchbase.com/organization/andreessen-horowitz,http://www.a16z.com,"San Francisco Bay Area, Silicon Valley, West Coast","Andreessen Horowitz is a venture capital firm specializing in investing in seed, start-ups, early, mid stage, growth, and late stage. It prefers to invest in the social media business and technology sector with a focus on software, back-end infrastructure, infrastructure of the Internet, cloud computing, enterprise software and services, consumer, business Internet, mobile-Internet, consumer Internet, cloud computing, data-storage, social network browsers data-storage, consumer electronics, networking functions, software related biology, biotech, and medicine companies at the intersection of computer science and life sciences with a focus on digital therapeutics, cloud technology in biology, and computational medicine.","Angel Investment, Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Late Stage Venture",Venture Capital,930,"Menlo Park, California, United States",businessplans@a16z.com,,http://www.linkedin.com/company/andreessen-horowitz,,,,,,
Lightspeed Venture Partners,https://www.crunchbase.com/organization/lightspeed-venture-partners,http://lsvp.com/,"San Francisco Bay Area, Silicon Valley, West Coast","Lightspeed Venture Partners is a venture capital firm that engages in consumer, enterprise, technology, and cleantech markets. It focuses on seed, early-stage, later stage, expansion stage, start-up, growth companies, and incubation and specializes in debt financing for start-up and growth companies. Lightspeed Venture Partners invests in various sectors that include enterprise, consumer, big data, bitcoin, enterprise technology, cleantech, mobile, internet, financial technology, cloud solutions, e-commerce, storage, media, networking, energy, and software, software-as-a-service, information technology, biotechnology, and social. It mainly invests in countries such as the United States, Europe, Israel, China, and India. The firm was founded in 2000 and is based in Menlo Park, California with additional offices in Beijing, China; Shanghai, China; New Delhi, India; and Herzelia Pituach, Israel.","Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Late Stage Venture, Private Equity",Venture Capital,915,"Menlo Park, California, United States",info@lsvp.com,(650) 234-8300,http://www.linkedin.com/company/lightspeed-venture-partners,,,,,,
Index Ventures,https://www.crunchbase.com/organization/index-ventures,http://www.indexventures.com,"San Francisco Bay Area, West Coast, Western US","Index Ventures is a venture capital firm based in London, San Francisco, and Geneva, helping entrepreneurs turn bold ideas into global businesses.  Since 1996, Index has partnered with exceptional entrepreneurs who are using technology to reshape the world around us. The companies they’ve started include Adyen, Deliveroo, Dropbox, Farfetch, King, Slack, and Supercell.","Angel Investment, Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Late Stage Venture, Seed",Venture Capital,898,"San Francisco, California, United States",,415-471-1700,http://www.linkedin.com/company/index-ventures,,,,,,
Khosla Ventures,https://www.crunchbase.com/organization/khosla-ventures,http://www.khoslaventures.com,"San Francisco Bay Area, Silicon Valley, West Coast","Khosla Ventures is a venture capital firm started in 2004 by Vinod Khosla, Co-Founder of Sun Microsystems. The firm provides venture assistance and strategic advice to entrepreneurs working on breakthrough technologies. With over $5 Billion under management, the firm focuses on a range of areas including consumer, enterprise, education, advertising, financial services, semiconductors, health, big data, agriculture, food, sustainable energy, and robotics. Khosla Ventures is headquartered in Menlo Park, California.","Business Development, Financial Services, Health Care, Mobile, Venture Capital","Financial Services, Health Care, Lending and Investments, Mobile, Professional Services","Early Stage Venture, Late Stage Venture",Venture Capital,879,"Menlo Park, California, United States",kv@khoslaventures.com,650-376-8500,http://www.linkedin.com/company/1580955,,,,,,
Threshold,https://www.crunchbase.com/organization/threshold,http://threshold.vc,"San Francisco Bay Area, Silicon Valley, West Coast","Threshold is an early-stage venture capital firm that focuses on a high-conviction investment strategy. The firm partners with entrepreneurs building innovative consumer, enterprise, and healthcare technology companies. Threshold was founded in 2019 and is based in Menlo Park, California.","Business Development, Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments, Professional Services",Early Stage Venture,Venture Capital,852,"Menlo Park, California, United States",press@thresholdvc.com,650.233.9000,https://www.linkedin.com/company/thresholdvc/about/,,,,,,
General Catalyst,https://www.crunchbase.com/organization/general-catalyst-partners,http://www.generalcatalyst.com,"Greater Boston Area, East Coast, New England","General Catalyst is a venture capital firm that provides early-stage and growth equity investments. They provide ongoing momentum that accelerates ideas, careers, and companies toward standout success. They create the ideal conditions for growth, surround clients with the right people, and offer mentorship based on deep experience.  To date, General Catalyst has managed eight venture capital funds totaling approximately $3.75 billion in capital commitments.","Asset Management, Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Late Stage Venture, Seed",Venture Capital,836,"Cambridge, Massachusetts, United States",gcinfo@generalcatalyst.com,212-775-4000,http://www.linkedin.com/company/general-catalyst-partners,,,,,,
GV,https://www.crunchbase.com/organization/google-ventures,http://www.gv.com,"San Francisco Bay Area, Silicon Valley, West Coast","Launched as Google Ventures in 2009, GV is the venture capital arm of Alphabet, Inc. They’ve invested in more than 300 companies that push the edge of what’s possible. In the fields of life science, healthcare, artificial intelligence, robotics, transportation, cyber security, and agriculture, their companies aim to improve lives and change industries. They’ve built a team of world-class engineers, designers, physicians, scientists, marketers, and investors who work together to provide these startups exceptional support on the road to success. They help their companies interface with Google, providing unique access to the world’s best technology and talent.","Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Late Stage Venture","Corporate Venture Capital, Venture Capital",824,"Mountain View, California, United States",,,https://www.linkedin.com/company/g-v-/,,,,,,
Goldman Sachs,https://www.crunchbase.com/organization/goldman-sachs,http://www.goldmansachs.com/,"Greater New York Area, East Coast, Northeastern US","The Goldman Sachs Group, Inc. provides investment banking, securities, and investment management services, as well as financial services to corporations, financial institutions, governments, and high-net-worth individuals worldwide. Its Investment Banking segment offers financial advisory services, including advisory assignments with respect to mergers and acquisitions, divestitures, corporate defense, risk management, and restructurings and spin-offs; and underwriting services comprising public offerings and private placements of a range of securities, loans and other financial instruments, and derivative transactions. The company’s Institutional Client Services segment provides client execution services, such as fixed income, currency, and commodities client execution related to making markets in interest rate products, credit products, mortgages, currencies, and commodities; and equities related to making markets in equity products, as well as executes and clears institutional client transactions on stock, options, and futures exchanges. This segment also engages in securities services business providing financing, securities lending, and other brokerage services to institutional clients, including hedge funds, mutual funds, pension funds, and foundations. Its Investing and Lending segment originates longer-term loans; and invests in debt securities, loans, public and private equity securities, real estate, consolidated investment entities, distressed assets, currencies, commodities, and power generation facilities. The company’s Investment Management segment provides investment products and services, as well as offers wealth advisory services, including portfolio management and financial counseling, and brokerage and other transaction services. The Goldman Sachs Group, Inc. was founded in 1869 and is headquartered in New York, New York.","Banking, Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed","Investment Bank, Venture Capital",822,"New York, New York, United States",gs-investor-relations@gs.com,,http://www.linkedin.com/company/goldman-sachs,,,,,,
First Round Capital,https://www.crunchbase.com/organization/first-round-capital,http://www.firstround.com,"San Francisco Bay Area, West Coast, Western US","First Round is a seed-stage venture firm focused on building a vibrant community of technology entrepreneurs and companies, including Uber, Square, and Warby Parker. Through custom-built software, incredible in-person experiences, and a host of other unique services, First Round helps tiny companies get big while constantly reimagining the role of venture capital. It offers a growing number of services and products to help founders build companies from scratch.","Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Debt, Early Stage Venture, Late Stage Venture, Seed",Venture Capital,776,"San Francisco, California, United States",info@firstround.com,,https://www.linkedin.com/company/first-round-capital/,,,,,,
Venrock,https://www.crunchbase.com/organization/venrock,http://www.venrock.com,"San Francisco Bay Area, Silicon Valley, West Coast","Originally established as the venture capital arm of the Rockefeller family in 1969, Venrock continues a tradition of partnering with entrepreneurs to establish successful, enduring companies. With a primary focus on technology and healthcare, portfolio companies have included Apple Computer, Athenahealth, Centocor, Check Point Software, DoubleClick, Endeca, Gilead Sciences, Idec Pharma, Imperva, Illumina, Intel, Nest, SlideShare and Tudou.","Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments","Early Stage Venture, Late Stage Venture",Venture Capital,749,"Palo Alto, California, United States",publicrelations@venrock.com,650 561 9580,http://www.linkedin.com/company/venrock,,,,,,
Greylock,https://www.crunchbase.com/organization/greylock,http://www.greylock.com,"San Francisco Bay Area, Silicon Valley, West Coast","Greylock Partners backs entrepreneurs who are building disruptive, market-transforming consumer and enterprise software companies. The firm invests in companies that define new markets, including Airbnb, AppDynamics, Apptio, Arista Networks (NYSE: ANET), Cloudera, Docker, Dropbox, Facebook (Nasdaq: FB), LinkedIn (NYSE: LNKD), Medium, Nextdoor, Palo Alto Networks (NYSE: PANW), Pandora (NYSE: P), Pure Storage, and Workday (NYSE: WDAY).","Consumer, Enterprise Software, Venture Capital","Financial Services, Lending and Investments, Other, Software","Early Stage Venture, Late Stage Venture",Venture Capital,746,"Menlo Park, California, United States",press@greylock.com,323-243-6655,http://www.linkedin.com/company/18077,,,,,,
Battery Ventures,https://www.crunchbase.com/organization/battery-ventures,http://www.battery.com,"Greater Boston Area, East Coast, New England","Battery Ventures is a venture capital firm with offices in Boston, Silicon Valley, and Israel. Battery invests in potentially cutting-edge, category-defining businesses in markets including application software, IT infrastructure technologies, consumer-internet and mobile services, and industrial technologies.","Finance, Financial Services, FinTech, Venture Capital","Financial Services, Lending and Investments","Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",Venture Capital,725,"Boston, Massachusetts, United States",,(415) 426-5900,http://www.linkedin.com/company/battery-ventures,,,,,,
